desc,carbs,fat,fiber,protein,pps
McDonald's Sausage Egg and Cheese Bagel,54.00,39.00,4.00,27.00,18.10
McDonald's Chicken Sausage and Egg McMuffin,30.00,17.00,2.00,23.00,9.60
McDonald's Big Breakfast Sausage Scrambled with Hotcakes and Muffin,146.00,57.00,5.00,35.00,33.50
McDonald's Double Sausage McMuffin with Egg and Cheese,30.00,48.00,2.00,28.00,18.00
McDonald's Cranberry Orange Muffin,70.00,9.00,3.00,6.00,10.30
McDonald's Spam Eggs and Rice,36.00,25.00,0.00,24.00,12.60
McDonald's Bagel With Cream Cheese,49.00,8.00,3.00,10.00,8.10
McDonald's Blueberry Biscuit,36.00,8.00,1.00,3.00,6.20
McDonald's Biscuit Sausage Egg and Cheese,39.00,38.00,3.00,20.00,15.60
McDonald's Big Breakfast Sausage and English Muffin,44.00,40.00,3.00,26.00,17.20
McDonald's McChicken Biscuit,45.00,21.00,2.00,14.00,11.50
McDonald's Biscuit Sausage Gravy Platter,87.00,52.00,3.00,19.00,24.40
McDonald's McGriddles Chicken Sausage,42.00,11.00,1.00,13.00,8.50
McDonald's Cinnamon Sweet Cheese Pastry,16.00,8.00,0.00,3.00,4.10
McDonald's Raspberry Pastry,14.00,5.00,1.00,2.00,2.90
McDonald's Bacon Biscuit,36.00,17.00,2.00,10.00,9.10
McDonald's Bagel Plain,48.00,2.00,3.00,9.00,6.40
McDonald's Country Ham Biscuit,36.00,14.00,2.00,15.00,8.80
McDonald's Big Breakfast Steak Hotcakes Scrambled with Biscuit,155.00,57.00,6.00,40.00,34.80
McDonald's Biscuit Chicken Sausage,36.00,17.00,2.00,13.00,9.30
McDonald's Berry Bran Muffin,62.00,15.00,7.00,7.00,10.70
McDonald's Grits,19.00,6.00,2.00,2.00,3.60
McDonald's Local Deluxe Breakfast,82.00,45.00,1.00,38.00,24.00
McDonald's Double Chocolate Muffin,74.00,15.00,4.00,8.00,12.40
McDonald's Blueberry Muffin,67.00,17.00,3.00,7.00,12.10
McDonald's Cinnamon Coffee Cake,22.00,7.00,1.00,2.00,4.30
McDonald's Steak Egg and Cheese Bagel with Slivered Onions,54.00,30.00,4.00,32.00,16.30
McDonald's Big Breakfast Bacon Scrambled and Biscuit,54.00,40.00,3.00,30.00,18.70
McDonald's Country Ham and Egg Biscuit,38.00,18.00,2.00,21.00,10.60
McDonald's Chicken Sausage McMuffin,29.00,12.00,2.00,16.00,7.60
McDonald's Big Breakfast Bacon Sausage Scrambled with Hotcakes and Muffin,147.00,61.00,5.00,40.00,35.10
McDonald's Biscuit Sausage and Cheese,38.00,34.00,2.00,14.00,14.00
McDonald's Spam Side Order,1.00,16.00,0.00,8.00,5.00
McDonald's Portuguese Sausage Eggs and Rice,37.00,29.00,1.00,26.00,13.80
McDonald's Fruit and Maple Oatmeal with Maple Sugar Packet,53.00,4.00,5.00,7.00,7.10
McDonald's Egg and Chorizo Breakfast Bowl,23.00,29.00,3.00,27.00,12.20
McDonald's Hot N Spicy McChicken Biscuit,46.00,22.00,3.00,14.00,11.70
McDonald's Big Breakfast Steak Scrambled with Biscuit,53.00,41.00,3.00,31.00,19.00
McDonald's McGriddles Spam,45.00,21.00,2.00,17.00,11.70
McDonald's Green Chile Bacon Burrito,66.00,35.00,3.00,29.00,18.70
McDonald's Green Chile Sausage Burrito,66.00,48.00,3.00,30.00,22.10
McDonald's Scratch Biscuit and Gravy,47.00,27.00,2.00,10.00,12.80
McDonald's Biscuit Scratch Sausage and Cheese,41.00,35.00,2.00,14.00,14.60
McDonald's Lemon Poppy Seed Muffin Topper,22.00,7.00,1.00,2.00,4.30
McDonald's Chocolate Coffee Cake,21.00,8.00,1.00,2.00,4.50
McDonald's Blueberry Muffin Topper,22.00,7.00,0.00,2.00,4.40
McDonald's Double Chocolate Muffin Topper,23.00,8.00,1.00,2.00,4.70
McDonald's Carrot Muffin,67.00,17.00,2.00,6.00,12.10
McDonald's Mini Butter Croissant,16.00,7.00,1.00,3.00,3.70
McDonald's Turkey Sausage and Tomatillo Scramble Bowl,29.00,200.00,2.00,29.00,57.00
McDonald's Side Salad,3.00,0.00,1.00,1.00,0.30
McDonald's Premium Bacon Ranch Salad (without chicken),9.00,12.00,3.00,14.00,5.10
McDonald's Premium Southwest Salad (without chicken),19.00,7.00,5.00,8.00,4.20
McDonald's Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,28.00,28.00,4.00,33.00,13.00
McDonald's Premium Bacon Ranch Salad with Grilled Chicken,9.00,14.00,3.00,42.00,8.20
McDonald's Premium Southwest Salad with Buttermilk Crispy Chicken,46.00,25.00,8.00,28.00,13.40
McDonald's Premium Southwest Salad with Grilled Chicken,27.00,11.00,6.00,37.00,8.70
McDonald's Broccoli Cheese Soup,14.00,11.00,0.00,6.00,4.90
McDonald's Chicken Noodle Soup,15.00,2.00,0.00,10.00,3.10
McDonald's Fruit 'n Yogurt Parfait,30.00,2.00,1.00,4.00,4.10
McDonald's Small French Fries,29.00,11.00,3.00,3.00,6.00
McDonald's Fruit 'n Yogurt Parfait with Chobani,21.00,0.50,1.00,8.00,3.10
McDonald's Apple Slices,4.00,0.00,0.00,0.00,0.40
McDonald's Side Salad,3.00,0.00,1.00,1.00,0.30
McDonald's Large French Fries,66.00,24.00,6.00,7.00,13.50
McDonald's Kids Fries,15.00,5.00,1.00,1.00,2.90
McDonald's Ranch Snack Wrap (Buttermilk Crispy),34.00,20.00,2.00,16.00,10.20
McDonald's Ranch Snack Wrap (Grilled),25.00,13.00,1.00,21.00,7.90
McDonald's Mac Snack Wrap,26.00,20.00,2.00,15.00,9.20
McDonald's Go-GURT Strawberry Flavored Low Fat Yogurt Tube,8.00,0.50,0.00,3.00,1.30
McDonald's Mozzarella Sticks (3 Piece),18.00,10.00,1.00,8.00,5.20
McDonald's Basket of Fries,87.00,32.00,8.00,9.00,17.90
McDonald's Pineapple Side,15.00,0.00,2.00,1.00,1.60
McDonald's McCheddar Potato Bites (12 piece),47.00,20.00,3.00,9.00,10.90
McDonald's Popcorn (Large),45.00,33.00,3.00,6.00,13.70
McDonald's Medium French Fries,44.00,16.00,4.00,4.00,9.00
McDonald's Portuguese Sausage Side Order,2.00,19.00,0.00,10.00,6.00
McDonald's Saimin,45.00,2.50,2.00,10.00,6.30
McDonald's Popcorn (Small),21.00,15.00,1.00,3.00,6.30
McDonald's McCheddar Potato Bites (8 piece),31.00,13.00,2.00,6.00,7.10
McDonald's Gourmet Twist Hot Pretzel with Butter Salt,85.00,4.50,3.00,12.00,11.30
McDonald's Plain Gourmet Pretzel Twist,85.00,3.50,3.00,12.00,11.10
McDonald's Gilroy Garlic Fries (Large),70.00,31.00,7.00,10.00,16.00
McDonald's Gilroy Garlic Fries (Medium),48.00,23.00,5.00,8.00,11.50
McDonald's Fruit 'N Yogurt Parfait (Large),58.00,4.50,1.00,8.00,8.20
McDonald's Cheese Curds,18.00,30.00,2.00,24.00,11.70
McDonald's French Fries (Large) Compostable Packaging,61.00,22.00,5.00,6.00,12.50
McDonald's French Fries (Medium) Compostable Packaging,49.00,18.00,4.00,5.00,10.10
McDonald's French Fries (Kids) Compostable Packaging,25.00,9.00,2.00,2.00,5.10
McDonald's Hot Caramel Sundae Compostable Packaging,54.00,10.00,1.00,7.00,9.10
McDonald's Strawberry Sundae Compostable Packaging,43.00,9.00,1.00,6.00,7.50
McDonald's Mocha (Small),49.00,12.00,2.00,9.00,9.10
McDonald's Coffee (Small),1.00,0.00,0.00,2.00,0.30
McDonald's Iced Latte (Small),10.00,6.00,0.00,6.00,3.20
McDonald's Chocolate Shake (Small),87.00,15.00,1.00,12.00,14.40
McDonald's Vanilla Shake (Small),79.00,14.00,0.00,11.00,13.30
McDonald's Strawberry Shake (Small),80.00,15.00,0.00,12.00,13.70
McDonald's Iced Coffee (Small),24.00,5.00,0.00,2.00,4.10
McDonald's Mocha Caramel (Small),44.00,11.00,0.00,9.00,8.50
McDonald's Frappe Mocha (Small),60.00,17.00,1.00,7.00,11.50
McDonald's Frappe Caramel (Small),60.00,18.00,0.00,7.00,11.80
McDonald's Strawberry Banana Smoothie (Small),44.00,0.50,2.00,2.00,5.00
McDonald's Mango Pineapple Smoothie (Small),45.00,0.50,1.00,2.00,5.20
McDonald's Hot Chocolate (Small),51.00,14.00,1.00,11.00,10.10
McDonald's Caramel Cappuccino (Small),35.00,5.00,0.00,6.00,5.70
McDonald's Vanilla Cappuccino (Small),30.00,5.00,0.00,6.00,5.10
McDonald's Iced Caramel Latte (Small),28.00,5.00,0.00,6.00,4.90
McDonald's Iced French Vanilla Latte (Small),28.00,6.00,0.00,7.00,5.30
McDonald's Latte (Small),12.00,8.00,0.00,7.00,4.00
McDonald's Iced Mocha (Small),40.00,11.00,1.00,7.00,7.80
McDonald's Iced Caramel Mocha (Small),37.00,11.00,0.00,7.00,7.50
McDonald's Cappuccino (Small),9.00,6.00,0.00,6.00,3.10
McDonald's Mocha Caramel (Medium),54.00,14.00,0.00,11.00,10.50
McDonald's Mocha Caramel (Large),64.00,17.00,0.00,14.00,12.70
McDonald's Hot Chocolate (Medium),63.00,17.00,2.00,14.00,12.40
McDonald's Strawberry Banana Smoothie (Large),76.00,1.00,4.00,4.00,8.60
McDonald's Iced Coffee Caramel (Small),23.00,5.00,0.00,3.00,4.10
McDonald's Iced Coffee French Vanilla (Small),19.00,5.00,0.00,2.00,3.60
McDonald's Iced Coffee (Large),45.00,9.00,0.00,3.00,7.50
McDonald's Iced Coffee (Medium),30.00,7.00,0.00,2.00,5.30
McDonald's Hot Chocolate (Large),73.00,20.00,1.00,17.00,14.60
McDonald's Iced Mocha (Large),71.00,17.00,2.00,13.00,13.20
McDonald's Iced Mocha (Medium),50.00,13.00,2.00,9.00,9.50
McDonald's Mocha (Medium),57.00,12.00,2.00,10.00,10.10
McDonald's Mocha (Large),72.00,17.00,2.00,15.00,13.50
McDonald's Latte (Medium),15.00,10.00,0.00,10.00,5.10
McDonald's Latte Caramel (Small),38.00,7.00,0.00,8.00,6.70
McDonald's Latte French Vanilla (Small),33.00,7.00,0.00,8.00,6.20
McDonald's Espresso Americano Coffee (Small),0.00,0.00,0.00,0.00,0.00
McDonald's Latte Iced (Medium),10.00,6.00,0.00,6.00,3.20
McDonald's Caramel Macchiato (Small),41.00,7.00,0.00,8.00,7.00
McDonald's Iced Caramel Macchiato (Medium),40.00,6.00,0.00,8.00,6.70
McDonald's Latte Iced (Large),14.00,9.00,0.00,9.00,4.70
McDonald's Iced Caramel Macchiato (Large),58.00,10.00,0.00,11.00,9.90
McDonald's Iced Caramel Macchiato (Small),32.00,6.00,0.00,6.00,5.60
McDonald's Cold Brew Frappe (Small),49.00,15.00,0.00,6.00,9.80
McDonald's Cold Brew Frozen Coffee (Small),41.00,11.00,0.00,6.00,7.90
