desc,carbs,fat,fiber,protein,pps
Starbucks Chocolate Chunk Muffin,60.00,21.00,2.00,7.00,12.40
Starbucks Chocolate Croissant,38.00,18.00,1.00,6.00,9.30
Starbucks Chocolate Hazelnut Croissant,43.00,22.00,2.00,7.00,10.80
Starbucks Chocolate Marble Loaf Cake,64.00,24.00,2.00,6.00,13.60
Starbucks Chonga Bagel,50.00,5.00,3.00,12.00,7.60
Starbucks Cinnamon Morning Bun,58.00,15.00,2.00,7.00,10.70
Starbucks Cinnamon Raisin Bagel,58.00,1.00,3.00,9.00,7.20
Starbucks Classic Coffee Cake,57.00,16.00,1.00,5.00,10.70
Starbucks Confetti Hearts Cake Pop,22.00,7.00,1.00,2.00,4.30
Starbucks Cookie Butter Bar,36.00,23.00,0.00,2.00,10.00
Starbucks Cranberry Orange Scone,64.00,15.00,1.00,6.00,11.30
Starbucks Devil's Food Doughnut,53.00,23.00,2.00,5.00,12.00
Starbucks Double Chocolate Brownie,46.00,24.00,3.00,6.00,11.50
Starbucks Double Chocolate Chunk Brownie,41.00,23.00,2.00,4.00,10.60
Starbucks Double Chocolate Loaf Cake,48.00,20.00,3.00,5.00,10.60
Starbucks Everything Bagel with Cheese,53.00,4.00,2.00,11.00,7.70
Starbucks Frappuccino Cookie Straw,14.00,3.00,0.00,1.00,2.40
Starbucks Heart Sugar Cookie,35.00,18.00,1.00,3.00,8.60
Starbucks Iced Lemon Pound Cake,68.00,20.00,1.00,6.00,13.10
Starbucks Maple Pecan Muffin,46.00,23.00,1.00,6.00,11.40
Starbucks Marshmallow Dream Bar,44.00,5.00,0.00,1.00,6.20
Starbucks Michigan Cherry Oat Bar,47.00,10.00,2.00,3.00,7.80
Starbucks Morning Muffin,50.00,21.00,3.00,8.00,11.40
Starbucks Multigrain Bagel,64.00,4.00,8.00,17.00,9.00
Starbucks Oatmeal Cookie,40.00,12.00,3.00,5.00,7.70
Starbucks Octopus Cookie,39.00,18.00,1.00,3.00,9.10
Starbucks Old-Fashioned Glazed Doughnut,56.00,27.00,1.00,5.00,13.40
Starbucks Peanut Butter Cup Cookie,36.00,21.00,3.00,8.00,9.80
Starbucks Pecan Tart,39.00,18.00,1.00,4.00,9.20
Starbucks Petite Vanilla Bean Scone,18.00,5.00,0.00,2.00,3.40
Starbucks Plain Bagel,56.00,2.00,2.00,9.00,7.30
Starbucks Pumpkin Bread,63.00,15.00,2.00,6.00,11.10
Starbucks Raspberry Swirl Pound Cake,65.00,18.00,2.00,6.00,12.10
Starbucks Reduced-Fat Cinnamon Swirl Coffee Cake,67.00,9.00,2.00,5.00,10.00
Starbucks S'mores Bar,44.00,17.00,1.00,2.00,9.30
Starbucks Salted Caramel Cake Pop,25.00,9.00,0.00,2.00,5.20
Starbucks Toffeedoodle,44.00,13.00,1.00,3.00,8.40
Starbucks Vermont Maple Walnut Muffin,45.00,21.00,2.00,6.00,10.70
Starbucks Volpiâ„¢ Pepperoni & Tomato Savory Foldover,27.00,14.00,2.00,10.00,7.30
"Starbucks Bacon, Gouda & Egg Breakfast Sandwich",32.00,19.00,1.00,18.00,10.00
Starbucks Carved Ham & Swiss Breakfast Sandwich,41.00,25.00,1.00,25.00,13.10
Starbucks Classic Whole-Grain Oatmeal,28.00,3.00,4.00,5.00,4.00
Starbucks Dark Chocolate and Caramelized Banana Oatmeal,51.00,12.00,5.00,7.00,8.90
"Starbucks Double-Smoked Bacon, Cheddar & Egg Sandwich",40.00,27.00,1.00,21.00,13.20
Starbucks Egg & Cheddar Breakfast Sandwich,27.00,13.00,2.00,14.00,7.40
Starbucks Ham & Cheese Croissant,28.00,17.00,1.00,14.00,8.60
Starbucks Hearty Blueberry Oatmeal,43.00,3.00,5.00,5.00,5.50
Starbucks Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,28.00,6.00,2.00,16.00,5.90
"Starbucks Sausage, Cheddar & Egg Breakfast Sandwich",41.00,28.00,1.00,15.00,13.00
"Starbucks Seared Steak, Egg & Tomatillo Wrap",43.00,18.00,2.00,21.00,11.10
"Starbucks Slow-Roasted Ham, Swiss & Egg Breakfast Sandwich",42.00,23.00,1.00,24.00,12.60
Starbucks Smoked Shoulder Bacon Breakfast Sandwich,35.00,22.00,1.00,26.00,11.80
Starbucks Egg White & Red Pepper Sous Vide Egg Bites,13.00,7.00,1.00,13.00,4.30
Starbucks Chicken Chorizo Tortilla Sous Vide Egg Bites,13.00,13.00,0.00,15.00,6.10
Starbucks Bacon & Gruyere Sous Vide Egg Bites,9.00,22.00,0.00,19.00,8.40
"Starbucks Spicy Chorizo, Monterey Jack & Egg Breakfast Sandwich",35.00,30.00,3.00,26.00,13.70
"Starbucks Spinach, Feta & Cage Free Egg White Breakfast Wrap",33.00,10.00,6.00,19.00,7.50
Starbucks Blueberry and Honey Greek Yogurt Parfait,42.00,3.00,2.00,14.00,6.50
Starbucks Dark Sweet Cherry Greek Yogurt Parfait,43.00,5.00,2.00,15.00,7.20
Starbucks Strawberry Greek Yogurt Parfait,39.00,3.00,3.00,15.00,6.20
"Starbucks Almond Butter, Strawberries & Jam Sandwich",80.00,25.00,10.00,19.00,16.10
Starbucks Ancho Chipotle Chicken Panini,57.00,19.00,4.00,26.00,13.20
Starbucks Chicken Artichoke on Ancient Grain Flatbread,37.00,27.00,5.00,24.00,12.80
Starbucks Chicken BLT Salad Sandwich,35.00,25.00,3.00,21.00,11.90
Starbucks Chicken Caprese Sandwich,58.00,18.00,3.00,28.00,13.30
Starbucks Egg Salad Sandwich,42.00,27.00,7.00,16.00,12.40
Starbucks Homestyle Chicken & Double-Smoked Bacon,57.00,17.00,3.00,23.00,12.50
Starbucks Italian-Style Ham & Spicy Salami Sandiwch,49.00,20.00,3.00,22.00,12.30
Starbucks Roasted Tomato & Mozzarella Panini,47.00,18.00,3.00,11.00,10.50
Starbucks Turkey & Dill Havarti Sandwich,47.00,32.00,6.00,32.00,15.80
Starbucks Turkey & Havarti Sandwich,31.00,21.00,2.00,29.00,11.30
Starbucks Turkey Pesto Panini,55.00,23.00,3.00,34.00,14.80
Starbucks Chicken & Quinoa Protein Bowl,42.00,17.00,9.00,27.00,10.70
Starbucks Green Goddess Avocado Salad,62.00,37.00,10.00,13.00,16.70
Starbucks Hearty Veggie & Brown Rice Salad Bowl,50.00,22.00,8.00,10.00,11.40
Starbucks Lentils & Vegetable Protein Bowl,80.00,29.00,21.00,23.00,16.60
Starbucks Seasonal Harvest Fruit Blend,24.00,0.00,4.00,1.00,2.40
Starbucks Za'atar Chicken & Lemon Tahini Salad,67.00,23.00,11.00,27.00,14.80
Starbucks Zesty Chicken & Black Bean Salad Bowl,38.00,15.00,8.00,14.00,8.70
"Subway 6"" B.L.T.",43.00,9.00,5.00,15.00,8.00
Subway Footlong B.L.T.,86.00,18.00,10.00,30.00,16.00
"Subway 6"" BBQ Pork Rib Sandwich",53.00,25.00,2.00,19.00,13.80
Subway Footlong BBQ Pork Rib Sandwich,106.00,50.00,4.00,38.00,27.60
"Subway 6"" BBQ Rib Sandwich",47.00,18.00,5.00,19.00,11.10
Subway Footlong BBQ Rib Sandwich,94.00,36.00,10.00,38.00,22.20
"Subway 6"" Big Hot Pastrami",47.00,31.00,5.00,29.00,15.40
Subway Footlong Big Hot Pastrami,94.00,62.00,10.00,58.00,30.80
"Subway 6"" Big Philly Cheesesteak",51.00,17.00,6.00,38.00,13.00
Subway Footlong Big Philly Cheesesteak,102.00,34.00,12.00,76.00,26.00
Subway Kids Mini Sub Black Forest Ham,30.00,3.00,3.00,10.00,4.70
"Subway 6"" Black Forest Ham",46.00,5.00,5.00,18.00,7.60
Subway Footlong Black Forest Ham,92.00,10.00,10.00,36.00,15.20
"Subway 6"" Carved Turkey",45.00,5.00,5.00,25.00,8.10
Subway Footlong Carved Turkey,90.00,10.00,10.00,50.00,16.20
"Subway 6"" Carved Turkey & Bacon w/ Cheese",46.00,26.00,5.00,33.00,14.40
Subway Footlong Carved Turkey & Bacon w/ Cheese,92.00,52.00,10.00,66.00,28.70
"Subway 6"" Chicken & Bacon Ranch Melt",47.00,28.00,5.00,35.00,15.20
Subway Footlong Chicken & Bacon Ranch Melt,94.00,56.00,10.00,70.00,30.30
"Subway 6"" Chicken Pizziola Melt",49.00,16.00,6.00,32.00,11.90
Subway Footlong Chicken Pizziola Melt,98.00,32.00,12.00,64.00,23.90
"Subway 6"" Chipotle Cheesesteak",47.00,18.00,3.00,27.00,12.00
Subway Footlong Chipotle Cheesesteak,94.00,36.00,6.00,54.00,24.10
"Subway 6"" Cold Cut Combo",46.00,13.00,5.00,18.00,9.60
Subway Footlong Cold Cut Combo,92.00,26.00,10.00,36.00,19.30
"Subway 6"" Corned Beef Reuben",45.00,15.00,7.00,39.00,11.80
Subway Footlong Corned Beef Reuben,90.00,30.00,14.00,78.00,23.60
"Subway 6"" Homestyle Crispy Chicken Sandwich",51.00,23.00,3.00,20.00,13.10
Subway Footlong Homestyle Crispy Chicken Sandwich,102.00,46.00,6.00,48.00,26.90
"Subway 6"" Italian B.M.T.",46.00,16.00,5.00,20.00,10.60
Subway Footlong Italian B.M.T.,92.00,32.00,10.00,40.00,21.20
"Subway 6"" Italian Hero",47.00,29.00,5.00,26.00,14.60
Subway Footlong Italian Hero,94.00,58.00,10.00,52.00,29.20
"Subway 6"" Meatball Marinara",59.00,18.00,8.00,21.00,12.40
Subway Footlong Meatball Marinara,118.00,36.00,16.00,42.00,24.80
"Subway 6"" Oven Roasted Chicken",47.00,5.00,5.00,23.00,8.20
Subway Footlong Oven Roasted Chicken,44.00,10.00,10.00,46.00,10.80
Subway Kids Mini Sub Roast Beef,30.00,3.00,4.00,14.00,5.00
"Subway 6"" Roast Beef",45.00,5.00,5.00,24.00,8.00
Subway Footlong Roast Beef,90.00,10.00,10.00,48.00,16.10
"Subway 6"" Rotisserie Style Chicken",44.00,6.00,5.00,29.00,8.60
Subway Footlong Rotisserie Style Chicken,88.00,12.00,10.00,58.00,17.30
"Subway 6"" Spicy Italian",46.00,24.00,5.00,20.00,12.60
Subway Footlong Spicy Italian,92.00,48.00,10.00,40.00,25.30
"Subway 6"" Steak and Cheese",48.00,10.00,5.00,26.00,9.80
Subway Footlong Steak and Cheese,96.00,20.00,10.00,52.00,19.70
"Subway 6"" Subway Club",46.00,5.00,5.00,23.00,8.00
Subway Footlong Subway Club,92.00,10.00,10.00,46.00,16.10
"Subway 6"" Subway Melt (includes cheese)",47.00,11.00,5.00,23.00,9.70
Subway Footlong Subway Melt (includes cheese),94.00,22.00,10.00,46.00,19.40
"Subway 6"" Subway Seafood Sensation",51.00,19.00,5.00,13.00,11.30
Subway Footlong Subway Seafood Sensation,102.00,38.00,10.00,26.00,22.50
"Subway 6"" Sweet Onion Chicken Teriyaki",59.00,5.00,5.00,26.00,9.80
Subway Footlong Sweet Onion Chicken Teriyaki,118.00,10.00,10.00,52.00,19.50
"Subway 6"" Tuna",44.00,24.00,5.00,20.00,12.40
Subway Footlong Tuna,88.00,48.00,10.00,40.00,24.80
"Subway 6"" Turkey & Bacon Avocado",49.00,13.00,8.00,22.00,10.10
Subway Footlong Turkey & Bacon Avocado,98.00,26.00,16.00,44.00,20.20
Subway Kids Mini Sub Turkey Breast,30.00,2.00,3.00,10.00,4.50
"Subway 6"" Turkey Breast",46.00,4.00,5.00,18.00,7.30
Subway Footlong Turkey Breast,92.00,8.00,10.00,36.00,14.70
"Subway 6"" Turkey Breast & Ham",46.00,4.00,5.00,18.00,7.30
Subway Footlong Turkey Breast & Ham,92.00,8.00,10.00,36.00,14.70
"Subway 6"" Turkey Italiano Melt (with Provolone)",47.00,24.00,5.00,24.00,13.10
Subway Footlong Turkey Italiano Melt (with Provolone),94.00,48.00,10.00,48.00,26.20
Subway Kids Mini Sub Veggie Delite,29.00,2.00,3.00,6.00,4.00
"Subway 6"" Veggie Delite",44.00,3.00,5.00,8.00,5.90
Subway Footlong Veggie Delite,88.00,6.00,10.00,16.00,11.90
"Subway 6"" Veggie Patty",56.00,7.00,8.00,23.00,9.40
Subway Footlong Veggie Patty,112.00,14.00,16.00,46.00,18.80
Subway Autumn Carved Turkey Salad,26.00,9.00,3.00,25.00,7.20
Subway B.L.T. Salad,10.00,8.00,4.00,10.00,3.70
Subway BBQ Pork Rib Salad,67.00,46.00,7.00,30.00,21.30
Subway Big Hot Pastrami Melt Salad,12.00,29.00,4.00,23.00,10.60
Subway Big Philly Cheesesteak Salad,17.00,16.00,5.00,32.00,8.50
Subway Black Forest Ham Salad,11.00,3.00,4.00,12.00,2.80
Subway Buffalo Chicken Salad (with Ranch dressing),13.00,26.00,4.00,20.00,9.60
Subway Carved Turkey & Bacon w/ Cheese Salad,11.00,12.00,4.00,28.00,6.60
Subway Carved Turkey Salad,8.00,4.00,3.00,19.00,3.40
Subway Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),14.00,38.00,4.00,30.00,13.70
Subway Cold Cut Combo Salad,12.00,11.00,4.00,12.00,4.90
Subway Double Chicken Salad,10.00,5.00,4.00,36.00,5.40
Subway Fresh Fit Crispy Chicken Salad,34.00,20.00,8.00,41.00,12.00
Subway Homestyle Crispy Chicken Salad,41.00,41.00,8.00,41.00,18.20
Subway Italian B.M.T.® Salad,12.00,15.00,4.00,14.00,6.10
Subway Italian Hero Salad,13.00,15.00,4.00,14.00,6.20
Subway Meatball Marinara Salad,25.00,17.00,6.00,16.00,8.10
Subway Oven Roasted Chicken Salad,10.00,3.00,4.00,19.00,3.30
Subway Roast Beef Salad,10.00,4.00,4.00,18.00,3.50
Subway Spicy Italian Salad,11.00,23.00,4.00,15.00,8.20
Subway Steak & Cheese Salad,14.00,8.00,4.00,20.00,5.10
Subway Subway Club Salad,11.00,4.00,4.00,17.00,3.50
Subway Subway Melt® Salad,13.00,10.00,4.00,18.00,5.30
Subway Sweet Onion Chicken Teriyaki Salad,24.00,3.00,4.00,20.00,4.90
Subway Tuna Salad,10.00,24.00,4.00,15.00,8.30
Subway Turkey Breast & Ham Salad,11.00,3.00,4.00,12.00,2.80
Subway Turkey Breast Salad,11.00,2.00,4.00,12.00,2.50
Subway Veggie Delite Salad,9.00,1.00,4.00,3.00,1.20
Subway Chipotle Southwest Steak & Cheese Wrap,65.00,37.00,4.00,43.00,20.30
Subway Rotisserie-Style Chicken Caesar Wrap,53.00,34.00,3.00,55.00,19.40
"Subway Turkey, Bacon & Guacamole Wrap",62.00,42.00,3.00,43.00,21.30
Subway Cheese & Veggies Pizza,100.00,25.00,5.00,36.00,20.30
Subway Cheese Pizza,96.00,22.00,4.00,32.00,18.80
Subway Pepperoni Pizza,96.00,32.00,4.00,38.00,21.90
Subway Sausage Pizza,97.00,34.00,4.00,39.00,22.60
"Subway 6"" Honey Oat Bread",43.00,3.00,4.00,8.00,5.90
"Subway 6"" Italian Herbs & Cheese Bread",41.00,5.00,2.00,9.00,6.40
"Subway 6"" Jalapeno Cheddar Bread",40.00,5.00,2.00,9.00,6.30
"Subway 6"" Monterey Cheddar Bread",38.00,6.00,2.00,10.00,6.50
"Subway 6"" Roasted Garlic Bread",45.00,3.00,2.00,8.00,6.30
"Subway 6"" Rosemary and Sea Salt Bread",40.00,3.00,2.00,7.00,5.60
"Subway 6"" 9-Grain Wheat Bread",40.00,2.00,4.00,8.00,5.30
"Subway 6"" Flatbread",39.00,5.00,1.00,7.00,6.10
"Subway 6"" Flatbread, Multigrain",37.00,5.00,6.00,8.00,5.60
"Subway 6"" Harvest Bread",41.00,3.00,4.00,10.00,5.90
"Subway 6"" Hawaiian Sweet Bread",41.00,3.00,1.00,8.00,5.90
"Subway 6"" Hearty Italian Bread",41.00,3.00,2.00,7.00,5.70
"Subway 6"" Italian (White) Bread",38.00,2.00,1.00,7.00,5.20
"Subway 6"" Parmesan Oregano Bread",40.00,3.00,2.00,7.00,5.60
"Subway 6"" Rye Bread",34.00,3.00,4.00,8.00,4.90
"Subway 6"" Sourdough Bread",36.00,2.00,1.00,9.00,5.20
"Subway 6"" Southwestern Spicy Bread",35.00,2.00,2.00,8.00,4.90
"Subway 6"" Ultimate Cheesy Garlic Bread",38.00,30.00,3.00,17.00,13.20
Subway Gluten-Free Bread,52.00,12.00,3.00,6.00,9.10
Subway Mini Italian (White) Bread,25.00,2.00,1.00,5.00,3.60
Subway Mini Wheat Bread,27.00,2.00,3.00,5.00,3.70
Subway Wrap,51.00,8.00,1.00,8.00,8.30
"Subway 6"" Bacon, Egg & Cheese",45.00,16.00,5.00,23.00,10.80
"Subway 6"" Black Forest Ham, Egg & Cheese",45.00,13.00,5.00,24.00,10.10
"Subway 6"" Egg & Cheese",44.00,12.00,5.00,19.00,9.30
"Subway 6"" Steak, Egg & Cheese",47.00,15.00,5.00,28.00,11.20
"Subway 6"" Bacon, Egg White and Cheese",45.00,11.00,4.00,23.00,9.60
"Subway 6"" Egg White & Cheese",44.00,8.00,4.00,19.00,8.30
"Subway 6"" Egg White & Cheese (with ham)",45.00,9.00,4.00,24.00,9.10
"Subway 6"" Mega Melt",46.00,22.00,4.00,32.00,13.30
"Subway 6"" Sausage, Egg White & Cheese",45.00,19.00,4.00,29.00,12.20
"Subway 6"" Steak, Egg White & Cheese",47.00,10.00,4.00,28.00,10.00
"Subway 6"" Turkey, Egg White and Cheese",45.00,8.00,4.00,24.00,8.90
"Subway Bacon, Egg White & Cheese on 6"" Flatbread",43.00,13.00,2.00,22.00,9.90
"Subway Egg White & Cheese (with ham) on 6"" Flatbread",43.00,11.00,2.00,23.00,9.50
"Subway Egg White & Cheese on 6"" Flatbread",42.00,10.00,2.00,19.00,8.80
"Subway Mega Melt on 6"" Flatbread",44.00,24.00,2.00,32.00,13.80
"Subway Sausage, Egg White & Cheese on 6"" Flatbread",43.00,21.00,2.00,28.00,12.50
"Subway Steak, Egg White & Cheese on 6"" Flatbread",45.00,12.00,2.00,28.00,10.40
"Subway Turkey, Egg White & Cheese on 6"" Flatbread",43.00,11.00,2.00,23.00,9.50
"Subway 6"" Bacon, Egg & Cheese",45.00,16.00,5.00,23.00,10.80
"Subway 6"" Egg & Cheese",44.00,12.00,5.00,19.00,9.30
"Subway 6"" Egg & Cheese (with Black Forest Ham)",45.00,13.00,5.00,24.00,10.10
"Subway 6"" Mega Melt",46.00,26.00,5.00,32.00,14.30
"Subway 6"" Sausage, Egg & Cheese",45.00,23.00,5.00,29.00,13.10
"Subway 6"" Steak, Egg & Cheese",47.00,15.00,5.00,28.00,11.20
"Subway 6"" Turkey, Egg & Cheese",45.00,13.00,5.00,24.00,10.10
"Subway Bacon, Egg & Cheese on 6"" Flatbread",42.00,18.00,3.00,22.00,11.00
"Subway Egg & Cheese (with ham) on 6"" Flatbread",43.00,15.00,3.00,23.00,10.40
"Subway Egg & Cheese on 6"" Flatbread",42.00,14.00,3.00,19.00,9.70
"Subway Mega Melt on 6"" Flatbread",43.00,29.00,3.00,32.00,14.90
"Subway Sausage, Egg & Cheese on 6"" Flatbread",43.00,25.00,3.00,28.00,13.50
"Subway Steak, Egg & Cheese on 6"" Flatbread",44.00,17.00,3.00,28.00,11.50
"Subway Turkey, Egg & Cheese on 6"" Flatbread",43.00,15.00,3.00,23.00,10.40
Subway Hash Browns,28.00,10.00,3.00,2.00,5.60
Subway Baked Lay's® Chips,23.00,2.00,2.00,2.00,3.10
Subway Baked Lay's® Sour Cream & Onion Chips,24.00,4.00,2.00,3.00,3.80
Subway Doritos Nacho Cheese Chips,30.00,13.00,2.00,4.00,6.80
Subway Lay's® Classic Potato Chips,23.00,15.00,2.00,3.00,6.50
Subway Sunchips Harvest Cheddar Chips,29.00,9.00,3.00,4.00,5.60
Subway Bacon (2 strips),0.00,4.00,0.00,3.00,1.30
Subway Cheddar Cheese (2 triangles),0.00,5.00,0.00,4.00,1.70
Subway Chipotle Southwest Sauce,1.00,10.00,0.00,0.00,2.70
Subway Fat Free Honey Mustard Sauce,7.00,0.00,0.00,0.00,0.80
Subway Fat Free Italian 2 oz,7.00,0.00,0.00,1.00,0.90
Subway Fat Free Sweet Onion Sauce,9.00,0.00,0.00,0.00,1.00
Subway Light Mayonnaise (1 T),1.00,5.00,0.00,0.00,1.40
Subway Mayonnaise (1 T),0.00,12.00,0.00,0.00,3.10
"Subway Mozzarella Cheese, Shredded",0.00,3.00,0.00,3.00,1.00
"Subway Mustard, Yellow & Deli Brown (2 tsp)",1.00,0.00,0.00,0.00,0.10
Subway Olive Oil Blend (1 tsp),0.00,5.00,0.00,0.00,1.30
Subway Pepperjack Cheese (2 triangles),0.00,4.00,0.00,2.00,1.20
Subway Pepperoni,1.00,7.00,0.00,4.00,2.30
Subway Processed American Cheese (2 triangles),1.00,4.00,0.00,2.00,1.30
Subway Provolone Cheese (2 half circles),0.00,4.00,0.00,4.00,1.40
Subway Ranch (2 oz),3.00,35.00,0.00,0.00,9.30
Subway Shredded Monterey Blend,1.00,5.00,0.00,3.00,1.70
Subway Swiss Cheese (2 triangles),0.00,5.00,0.00,4.00,1.70
Subway Vinegar (1 tsp),0.00,0.00,0.00,0.00,0.00
Subway Apple Pie,37.00,10.00,1.00,0.00,6.50
Subway Apple Slices - 1 package,9.00,0.00,2.00,0.00,0.80
Subway Chocolate Chip Cookie,30.00,10.00,1.00,2.00,6.00
Subway Chocolate Chunk Cookie,30.00,10.00,1.00,2.00,6.00
Subway Double Chocolate Cookie,30.00,9.00,1.00,2.00,5.70
Subway Gingerbread Cookie,32.00,7.00,1.00,2.00,5.40
Subway M&M Cookie,32.00,10.00,1.00,2.00,6.20
Subway Mint Chocolate Chip Cookie,30.00,10.00,1.00,2.00,6.00
Subway Oatmeal Raisin Cookie,30.00,8.00,1.00,3.00,5.50
Subway Peanut Butter Cookie,26.00,12.00,1.00,4.00,6.20
Subway Raspberry Cheesecake,29.00,9.00,0.00,2.00,5.70
Subway Sugar Cookie,28.00,12.00,1.00,2.00,6.30
Subway White Macadamia Nut Cookie,29.00,11.00,1.00,2.00,6.10
Subway Cheese Flatizza,42.00,16.00,2.00,21.00,10.50
Subway Pepperoni Flatizza,43.00,26.00,2.00,26.00,13.60
Subway Spicy Italian Flatizza,43.00,25.00,2.00,25.00,13.30
Subway Veggie Flatizza,44.00,17.00,3.00,21.00,10.90
Subway Beef Chili,17.00,24.00,4.00,15.00,9.10
Subway Black Bean Soup,37.00,0.00,15.00,12.00,3.90
Subway Clam Chowder Soup,20.00,11.00,2.00,5.00,5.30
Subway Creamy Chicken and Dumplings Soup,20.00,5.00,3.00,8.00,4.00
Subway Creamy Wild and Brown Rice Soup,16.00,10.00,2.00,6.00,4.70
Subway Golden Broccoli & Cheese,16.00,11.00,4.00,5.00,4.70
Subway Green Chili and Tomato Soup,14.00,2.00,3.00,2.00,2.00
Subway Loaded Baked Potato Soup,23.00,11.00,2.00,7.00,5.80
Subway Minestrone,15.00,1.00,2.00,4.00,2.10
Subway Poblano Corn Chowder Soup,18.00,7.00,2.00,5.00,4.10
Subway Roasted Chicken Noodle,15.00,2.00,1.00,7.00,2.70
Subway Thai Coconut Soup,17.00,13.00,1.00,5.00,5.60
Subway Tomato Basil Soup,15.00,7.00,2.00,5.00,3.70
Subway Vegetable Beef,15.00,2.00,3.00,6.00,2.50
Subway Avocado,3.00,7.00,2.00,1.00,2.10
Subway Banana Peppers,0.00,0.00,0.00,0.00,0.00
Subway Cucumbers,1.00,0.00,0.00,0.00,0.10
Subway Green Peppers,0.00,0.00,0.00,0.00,0.00
Subway Jalapeno Peppers,0.00,0.00,0.00,0.00,0.00
Subway Lettuce,0.00,0.00,0.00,0.00,0.00
Subway Olives,0.00,0.00,0.00,0.00,0.00
Subway Onions,1.00,0.00,0.00,0.00,0.10
Subway Pickles,0.00,0.00,0.00,0.00,0.00
Subway Spinach,1.00,0.00,0.00,1.00,0.20
Subway Tomato,1.00,0.00,0.00,0.00,0.10
Taco Bell 1/2 lb.* Cheesy Potato Burrito,59.00,26.00,7.00,19.00,14.30
Taco Bell 1/2 lb.* Combo Burrito,53.00,18.00,9.00,21.00,11.60
Taco Bell 7-Layer Burrito,68.00,19.00,11.00,16.00,12.90
Taco Bell Bean Burrito,56.00,11.00,9.00,13.00,9.40
Taco Bell Beefy 5-Layer Burrito,68.00,22.00,8.00,19.00,14.20
Taco Bell Beefy Fritos® Burrito,55.00,18.00,4.00,13.00,11.50
Taco Bell Black Bean Burrito,62.00,12.00,8.00,14.00,10.50
Taco Bell Burrito Supreme® – Beef,53.00,16.00,8.00,16.00,10.70
Taco Bell Burrito Supreme® - Chicken,52.00,12.00,7.00,19.00,10.00
Taco Bell Burrito Supreme® - Steak,52.00,13.00,7.00,17.00,10.00
Taco Bell Cantina Power Burrito - Chicken,96.00,27.00,12.00,32.00,19.40
Taco Bell Cantina Power Burrito - Steak,98.00,28.00,13.00,33.00,19.90
Taco Bell Cantina Power Burrito - Veggie,107.00,26.00,17.00,20.00,18.90
Taco Bell Cheesy Bean and Rice Burrito,55.00,17.00,6.00,11.00,10.90
Taco Bell Chili Cheese Burrito,41.00,17.00,5.00,16.00,9.90
Taco Bell Chicken Crunchy Cheesy Core Burrito,74.00,24.00,5.00,25.00,16.20
Taco Bell Steak Crunchy Cheesy Core Burrito,75.00,24.00,5.00,25.00,16.30
Taco Bell Beef Crunchy Cheesy Core Burrito,76.00,26.00,7.00,22.00,16.50
Taco Bell Chicken Enchilada Grande Burrito,50.00,13.00,4.00,15.00,9.90
Taco Bell Three Cheese Nacho Grande Burrito,50.00,18.00,5.00,14.00,11.00
Taco Bell Loaded Taco Burrito,52.00,29.00,7.00,20.00,14.40
Taco Bell Chicken Quesarito,64.00,30.00,4.00,24.00,16.60
Taco Bell Steak Quesarito,64.00,31.00,3.00,25.00,17.00
Taco Bell Beef Quesarito,65.00,34.00,6.00,22.00,17.40
Taco Bell Shredded Chicken Burrito,45.00,18.00,3.00,16.00,10.80
Taco Bell Smothered Burrito - Beef,70.00,35.00,10.00,28.00,18.40
Taco Bell Smothered Burrito - Shredded Chicken,67.00,28.00,8.00,34.00,17.00
Taco Bell Smothered Burrito - Steak,68.00,29.00,7.00,35.00,17.60
Taco Bell Chicken Spicy Cheesy Core Burrito,66.00,20.00,5.00,24.00,14.20
Taco Bell Steak Spicy Cheesy Core Burrito,66.00,21.00,5.00,24.00,14.40
Taco Bell Beef Spicy Cheesy Core Burrito,68.00,23.00,7.00,22.00,14.80
Taco Bell Triple Melt Burrito,50.00,16.00,4.00,15.00,10.60
Taco Bell XXL Grilled Stuft Burrito - Beef,94.00,42.00,12.00,31.00,23.00
Taco Bell XXL Grilled Stuft Burrito - Chicken,91.00,35.00,10.00,37.00,21.60
Taco Bell XXL Grilled Stuft Burrito - Steak,91.00,36.00,10.00,33.00,21.40
Taco Bell Chicken Soft Taco,18.00,6.00,1.00,12.00,4.50
Taco Bell Cool Ranch® Doritos® Double Decker® Taco,36.00,14.00,6.00,13.00,8.30
Taco Bell Cool Ranch® Doritos® Locos Taco,13.00,10.00,2.00,8.00,4.60
Taco Bell Cool Ranch® Doritos® Locos Taco Supreme,15.00,12.00,3.00,9.00,5.30
Taco Bell Crunchy Taco,12.00,10.00,3.00,8.00,4.40
Taco Bell Crunchy Taco Supreme®,15.00,12.00,3.00,9.00,5.30
Taco Bell Double Decker® Taco,37.00,14.00,7.00,13.00,8.30
Taco Bell DOUBLE DECKER® Taco Supreme®,40.00,16.00,7.00,14.00,9.20
Taco Bell Spicy Sweet Double Stacked Taco,32.00,18.00,4.00,12.00,8.90
Taco Bell Cool Ranch Habanero Double Stacked Taco,30.00,20.00,4.00,13.00,9.30
Taco Bell Nacho Crunch Double Stacked Taco,39.00,19.00,5.00,13.00,9.90
Taco Bell Fiery Doritos® Double Decker® Taco,36.00,13.00,7.00,14.00,8.00
